문제 번호,제목,맞춘사람,제출,정답률,URL
1766,문제집,13601,35206,49.6,https://www.acmicpc.net/problem/1766
1336,수열의 개수 NKD,25,199,17.4,https://www.acmicpc.net/problem/1336
1951,활자,501,1572,40.1,https://www.acmicpc.net/problem/1951
1884,고속도로,283,1222,32.9,https://www.acmicpc.net/problem/1884
1312,소수,6003,22189,34.4,https://www.acmicpc.net/problem/1312
1235,학생 번호,3271,7680,50.0,https://www.acmicpc.net/problem/1235
1191,게임,14,181,18.4,https://www.acmicpc.net/problem/1191
1986,체스,1064,2874,45.4,https://www.acmicpc.net/problem/1986
1545,안티 팰린드롬,202,923,33.4,https://www.acmicpc.net/problem/1545
1927,최소 힙,39552,103933,49.3,https://www.acmicpc.net/problem/1927
1722,순열의 순서,3905,16730,34.1,https://www.acmicpc.net/problem/1722
1125,바닥 장식,48,445,17.1,https://www.acmicpc.net/problem/1125
1151,그림자,44,149,40.0,https://www.acmicpc.net/problem/1151
1547,공,11959,18213,73.7,https://www.acmicpc.net/problem/1547
1948,임계경로,3759,15836,31.9,https://www.acmicpc.net/problem/1948
1518,뉴 매직 스퀘어,21,133,33.9,https://www.acmicpc.net/problem/1518
1061,삼각형,80,1074,16.4,https://www.acmicpc.net/problem/1061
1400,화물차,240,1470,24.0,https://www.acmicpc.net/problem/1400
